id,name,category,parent_id,summary,url,location,scale_value,scale_unit,source_url,last_updated
tmc,Texas Medical Center,support,,Umbrella convener for the world's largest medical complex; member institutions operate independently.,https://tmc.edu,,,,,2026-08-04
baylor,Baylor College of Medicine,academic,tmc,Research and clinical training institution; TMC member.,https://bcm.edu,,,,,2026-08-04
mda,MD Anderson Cancer Center,academic,tmc,Leading cancer research and treatment center; TMC member.,https://mdanderson.org,,,,,2026-08-04
rice,Rice University,academic,,Research university; home to the Rice Biotech Launch Pad.,https://rice.edu,,,,,2026-08-04
ion,The Ion,industry,,Houston innovation district hosting startups and corporate partners.,https://ionhouston.com,,,,,2026-08-04
lonza,Lonza Pearland,industry,,Large-scale cell and gene therapy manufacturing facility.,https://lonza.com,,,,,2026-08-04
rbl,Rice Biotech Launch Pad,accelerator,,Moves early research into clinical-stage companies in roughly three years.,https://rbl.bio,,,,,2026-08-04
tmci,TMC Innovation Factory,accelerator,tmc,Runs BioPath and other startup and workforce programs; TMC member.,https://tmc.edu/tmc-innovation,,,,,2026-08-04
jlabs,JLABS @ TMC,accelerator,,J&J-backed life science incubator space.,https://jlabs.jnjinnovation.com,,,,,2026-08-04
cprit,CPRIT,funding,,Texas state fund directing billions toward translational cancer research.,https://cprit.texas.gov,,,,,2026-08-04
biohouston,BioHouston,support,,Nonprofit founded 2000; convenes and connects the life science community.,https://biohouston.org,,,,,2026-08-04
ghp,Greater Houston Partnership,support,,Regional economic development org; publishes ecosystem stats and reports.,https://houston.org,,,,,2026-08-04
