id,name,category,parent_id,summary,url,location,careers_url,scale_value,scale_unit,last_updated
baylor,Baylor College of Medicine,academic,,"Research and clinical training institution, located in the TMC",https://bcm.edu,,https://jobs.bcm.edu/search/?q=&,,,8/4/2026
mda,MD Anderson Cancer Center,academic,,Leading cancer research and treatment center located in the TMC.,https://mdanderson.org,,https://jobs.mdanderson.org/,,,8/4/2026
utmb,University of Texas Medical Branch,academic,,"Research and clinical training institution, located in Galveston and specializing in infectious disease and brain health.",https://www.utmb.edu,,https://www.utmb.edu/hr/careers,,,8/4/2026
rice,Rice University,academic,,Research university; home to the Rice Biotech Launch Pad.,https://rice.edu,,https://jobs.rice.edu/,,,8/4/2026
ibt,Texas A&M Health Science Center's Institute of Biosciences and Technology,academic,,Clinical and research training institute located in Bryan Texas,https://health.tamu.edu,,https://health.tamu.edu/jobs/index.html,,,8/4/2026
uth,UTHealth Houston,academic,mda,Clinical and research training institute affiliated with MD Anderson,https://www.uth.edu,,https://careers.uth.tmc.edu/us/en,,,8/4/2026
uh,University of Houston,academic,,Teaching institution with engineering- and chemistry-driven biomedical research,https://www.uh.edu,,https://www.uh.edu/human-resources/careers/,,,8/4/2026
hmri,Houston Methodist Research Institute,academic,,"Academic research branch of a major nonprofit hospital with research in cardiovascular disease, neuroscience, cancer, nanomedicine, and cell/gene therapy",https://www.houstonmethodist.org/academic-institute/research,,https://www.houstonmethodistcareers.org/opportunity-research.html,,,8/4/2026
tch,Texas Children's Hospital,academic,,Major pediatric clinical and research organization,https://www.texaschildrens.org,,https://eohh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs,,,8/4/2026
ion,The Ion District,industry,rice,Houston innovation district hosting startups and corporate partners.,https://ionhouston.com,,,,,8/4/2026
sjccb,San Jacinto College Center for Biotechnology,industry,,"Training center for biotechnical manufacturing, exclusive provider of the National Institute for Bioprocessing Research and Training",https://www.sanjac.edu/information-for/business-partners/biotechnology/,,,,,8/5/2026
innf,TMC Innovation Factory,industry,tmci,"Wet-lab, dry-lab, and office space available for lease in the TMC with dedicated resources for device and therapeutics development",https://www.tmc.edu/innovation-factory/,,,,,8/5/2026
helix,Helix Park TMC3 Collaborative Building,industry,tmci,"Four-story biotech collaborative work space providing lab space, office/co-working space, and shared IT infrastructure",https://www.helixpark.com/,,,,,8/5/2026
levit,Levit Green,industry,,Leasing ~300k SF of commercial lab and office space located in the TMC,https://www.levitgreen.com/,,,,,8/5/2026
biohu,Biohub 2,industry,,cGMP lab spaces for lease in the Generation Park hub,https://www.loopnet.com/Listing/12805-Lockwood-Houston-TX/29187746/,,,,,8/5/2026
acat,The Alexandria Center for Advanced Technologies,industry,,Commercial lab and office space located in the Woodlands,https://www.loopnet.com/Listing/8800-Technology-Forest-Pl-The-Woodlands-TX/38309872/,,,,,8/5/2026
sino,Sino Biological Houston,industry,,Houston branch of an international reagent supplier and CRO specializing in recombinant protein production and antibody development,https://www.sinobiological.com/news/us-new-location,,https://www.sinobiological.com/about-us/careers,,,8/5/2026
pack,PackGene,industry,,CRO offering GMP-grade viral vector packaging,https://www.packgene.com/,,https://recruiting.paylocity.com/recruiting/jobs/All/25a9f0ac-e0f4-4182-aa88-0a9eb436c36f/Packgene-Biotech-Inc,,,8/21/2026
ctmc,Cell Therapy Manufacturing Center,industry,,"Cell therapy manufacturing joint venture between National Resilience Inc. and MD Anderson Cancer Center; 60,000 SF cGMP cleanroom space in TMC.",https://ctmc.com/,,https://ctmc.com/careers/,,,8/7/2026
